a,b,form,beta,entry_z,n_trades,total_pnl,pnl_d2,pnl_d3,pnl_d4,pos_days
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,ols_spread,0.108,2.0,13,346.5,5848.0,-1280.5,-4221.0,1
SLEEP_POD_NYLON,SLEEP_POD_SUEDE,ols_spread,0.108,2.5,9,5721.5,5969.0,1950.5,-2198.0,2
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,spread,1.0,1.0,32,26735.0,-990.0,14955.0,12770.0,2
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,spread,1.0,1.2,26,27145.0,100.0,15090.0,11955.0,3
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,spread,1.0,1.5,20,31780.0,165.0,15065.0,16550.0,3
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,spread,1.0,1.8,16,35540.0,1710.0,12385.0,21445.0,3
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,spread,1.0,2.0,10,16695.0,3160.0,6200.0,7335.0,3
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,spread,1.0,2.5,6,10890.0,725.0,0.0,10165.0,2
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,sum,1.0,1.0,22,-21185.0,11415.0,0.0,-32600.0,1
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,sum,1.0,1.2,20,-19490.0,12640.0,0.0,-32130.0,1
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,sum,1.0,1.5,14,-20850.0,10665.0,0.0,-31515.0,1
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,sum,1.0,1.8,10,-23835.0,6845.0,0.0,-30680.0,1
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,sum,1.0,2.0,8,-25765.0,4555.0,0.0,-30320.0,1
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,sum,1.0,2.5,4,-28850.0,195.0,0.0,-29045.0,1
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,ols_spread,0.934,1.0,40,38360.0,2143.5,21235.0,14981.5,3
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,ols_spread,0.934,1.2,28,30347.0,31.0,19671.5,10644.5,3
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,ols_spread,0.934,1.5,24,36772.0,1192.0,20649.5,14930.5,3
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,ols_spread,0.934,1.8,18,40411.0,1454.0,19482.5,19474.5,3
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,ols_spread,0.934,2.0,12,23565.0,2671.0,7060.5,13833.5,3
SLEEP_POD_POLYESTER,SLEEP_POD_SUEDE,ols_spread,0.934,2.5,8,16989.5,7781.5,0.0,9208.0,2
